S.No,Text,,,,,,,,,,,,,,,,,,,,,
5,"R/SIR
       PLEASE SEE AN ATTACHED FILE",,,,,,,,,,,,,,,,,,,,,
6,"Please sir, I am requesting on behalf of yogi ji, you have to give enough tome to him and he would show huge developments to you and make good polacies and all for the up people. he would on basis of sabka sath sabka vikas",,,,,,,,,,,,,,,,,,,,,
7,"Wrong Decision Of Prime Minister.
https://youtu.be/GW3zmBHWH1E",,,,,,,,,,,,,,,,,,,,,
8,"“Tum jano to bataw mujhe may hindu ya musalman,
 Dharti may aye hum kaha ke meheman,
 Kisi ne  such kaha mujhe are murkh yeh sab bokwaj hay,
 Na koi hum hindu na koi hum musalman,
Esi dharti may hum sab eki ghar ke meheman�. ARUNADITYA DEB ROY",,,,,,,,,,,,,,,,,,,,,
9,"In the past, I wrote letters to the President's Secretariat and the Prime Minister in the past and wrote a letter to make strict law regarding tackling the adulterated Khariy. It is clear now that it should not be delayed and as the FSSI department told us there are some common methods of food testing available on our website. In this way we can make it a medium of awareness; teach them how to check adulteration in schools and be careful about them. It can be a start-up initiative for beginners.",,,,,,,,,,,,,,,,,,,,,
10,"Regarding cleanliness I have suggestion. we should develop small incinerators where household garbedge can be burned at house only on daily basis or on at least every alternate day. These Incinerators can be developed by industry houses like thermex India.
Thanks.
Ullhas Apte",,,,,,,,,,,,,,,,,,,,,
1,"Respected PM,   kindly ask concerned government agencies of all states to take action against people doing black marketing, selling substandard quality medicines etc.",,,,,,,,,,,,,,,,,,,,,
2,"school examinations shall be completed soon, during vacation, school managements can plan to organise digital payment awareness campaign for children particularly standard 7 and above  so that children themselves can form small team and educate the nearby residents for adopting digital transactions.",,,,,,,,,,,,,,,,,,,,,
3,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
4,"Respected Sir,
Last year a large part of country was affected by severe drought and water crisis. Situation does not seem to be better even this time. Temperatures are soaring in most parts of India even before march month is not yet over.  It is requested to start making arrangements like water train, digging of tube wells etc to save lives.",,,,,,,,,,,,,,,,,,,,,
5,"drinking water problem has been reported from different parts of India. All the state governments and district panchayats should finalise action plan urgently.Rise in temperature first affects the surface water and gradually it will lead to drought. cultivation of a single crop in a given area, urbanization are some of the reasons. Hon'ble PM May kindly appeal the public to come forward to preserve water.",,,,,,,,,,,,,,,,,,,,,
6,Hello Modi ji,,,,,,,,,,,,,,,,,,,,,
7,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
8,"Respected Sir,
               I Pritesh Parihar working in EPFO, RO, Ahmedabad and my wife is working in state government of Rajasthan in Doitc, Sir I regret to inform you that this organization is not Looking for the welfare of group C employees, I wanted a transfer from ahmedabad to Jodhpur but was done to udaipur for only 6 months, than after I was repatriated.  Their is a guideline given by DOPT regarding transfer of employee on Spouse ground but till date I am suffering",,,,,,,,,,,,,,,,,,,,,
9,"Respected Sir,
When Swachh Bharat Abhiyan was launch it was difficult to believe its success.It was thought that being a government program it will not be accepted by people.Yet not all people throw trash in nearby dust bin.All have not stopped urinating in public.But it can be said with pride that its effect is visible.People have a guilt feeling before doing so which can be seen on their faces.This lot with little behavioral shift will make a big difference in making India a Swachh India",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir, Plz increase Public Transport , make different office / school time and restrict no of personal cars. Make a rule for all "" Hum Do Humare Do & Dus (10) Tree"". Order people to Buy,Plant, save & care trees in  surrounding area like at chowk, service lanes, main road. plz order state govt for proper fencing for saving trees. People should take care of trees adjacent to their resident. Broad leaves trees including pipal , bargad should be preferred. with regards",,,,,,,,,,,,,,,,,,,,,
1,"Hon'ble PM Sir, We are working as MIS Co-ordinators in Sarva Shiksha Abhiyaan, Andhra Pradesh. We are facing many difficulties at the time of annual renewal. We are recruited Roster cum Merit basis. We are working low wages and past three years no hike of wages. No social and statutory security benefits, no job security. Not implement Equal Pay for Equal Work. At open market huge prices of Essential commodities in AP. We humble request regularise our services, solve problems and justice.",,,,,,,,,,,,,,,,,,,,,
2,"I like to advise that, Gov should give at least 4 LED bulb every year  to those who are under the poverty line through the subsidy or Free basis..So that we can save electricity as well as we can save them from dangerous rays(light)..
Thank you...",,,,,,,,,,,,,,,,,,,,,
3,"Honourable Prime Minister,
 Subject: C.P.E.C and India's counter diplomacy
 The suggestion have been posted with a presentation regarding the subject line with a registration NUMBER PMOPG/E/2017/0116120 .
 A kind request to go through this as i hope this would bring a big change in relationship of both the nations along with opportunity to earn revenue of 0.5% of GDP every year.",,,,,,,,,,,,,,,,,,,,,
4,"Dear sir
.  I am Ganesh patlewar from Maharashtra in Nagpur
Sir Maharashtra home ko regular duty de sakhte ho.. Bahut si jagah Aisi hai jaha police ya home guard ki jarurat hai..
Ex medical, relve station, police station me bhi staff ki bahut kami hai.. To aap pls home ko parmanat karo.. Thanks
Ganesh patlewar
Maharashtra home guard
9764912476",,,,,,,,,,,,,,,,,,,,,
5,"RESPECTED SIR, I AM FROM ODISHA , I JUST WANT TO TELL U ONE THING THAT PRADHAN MANTRI GRAM SADAK YOJANA HAS NOT REACH TO ALL THE VILLAGES OF ODISHA( SPECIALLY IT IS NILL JAJPUR DISTRICT), PLZ TAKE SOME ACTIONS REGARDING THAT.",,,,,,,,,,,,,,,,,,,,,
6,"Respected Sir,Kindly ban all plastic carry bags as soon as possible. These are the main cause of garbage. Our last generation used bags made of cloths or Jute. cities were not so dirty at that time. Like 500 & 1000 Rs note these plastic should be banned. After that plastic cover for rice , wheat, pulses , biscuits etc should be ban. These plastic choke all the drains. Animals eat them & die. these are most hazardous for mother earth. plz tell all states to follow Sikkim rule  for plastic ban.",,,,,,,,,,,,,,,,,,,,,
7,"Honourable Prime Minister,
Subject: Suggestion Regarding Empowerment of Indian Farmers.(DETAILS IN PDF ATTACHMENT)
The suggestive idea is to give initial boost to all the farmers every year before the harvesting season starts.
A proficient government organisation to incorporate that would undertake a comprehensive cultivation of land for all the farmers as per the farm land registry which would achieve significant benefits as explained.
No need of loan waiver schemes required.",,,,,,,,,,,,,,,,,,,,,
8,"Dear PM Sir, please ensure some measures for the treatment of people dealing with mental problems. mental problems like depression are silent killers of people's life and peace. family gets affected, people don't want to open about it as they think others will make fool of them. please help in breaking this stereotype. thanks for your immense and tireless efforts for the Development of India. I truly like your working style and your work culture. Thanks.",,,,,,,,,,,,,,,,,,,,,
9,"Dear Modiji,
I would like to share a thing which disturbs my mind everyday my way to office.
You have spread an awareness of cleanliness through Swachcha Bharat Movement, We all are proud & started keeping our surroundings clean.
But on the way to my Office I see peoples residing in Buildings with their dogs, they come to the roadside for make them shit. They even don't bother to make mess the public road & that was removed by road cleaning worker.
They should realize that this is wrong.",,,,,,,,,,,,,,,,,,,,,
10,"In govt sector , Lot of public money is spent on travelling for official work/semi official work/Non-official work. Check on spending of public money is needed in above case. In many govt technical Dept, Pace of work is very slow . Efficiency needs to be improved.",,,,,,,,,,,,,,,,,,,,,
1,"Respected Modi Jee
India Accessible Campaign was launched by your government on 03/12/2015. The main aim of the campaign is to make buildings accessible for the persons with disabilities. So far the campaign has not been implemented and no change in the government buildings are seen. Thus persons with disabilities are discriminated and segregated.
in addition the new buildings are under construction but accessibility factors are ignored. IAC campaign will fail if new infrastructure lack aces",,,,,,,,,,,,,,,,,,,,,
2,Govt projects gets delayed heavily. Unrealistic project schedule are projected . Project Monitoring by independent agency is requested .,,,,,,,,,,,,,,,,,,,,,
3,"Resp.Modiji, Assaults on Doctors,Hospitals and Nursing staff are increasing day by day in India. Young doctors are in the state of Phobia.Please solve this problem and Protect the Doctors and Health care community",,,,,,,,,,,,,,,,,,,,,
4,"Sir,I want to tell you about our nearby road behind shanti petrol pump.Actually it is not called as road because it is not made of bitumen,it is only desert soil over it.Now it is made an highway as large trucks passes over it.In rainy season it is made muddy area and in summer,sand flow with air",,,,,,,,,,,,,,,,,,,,,
5,"dear modi ji
            meri aap se request hai ke kalabazari mahangai or bhrastachar ko rokne ke liye sabhi prakar ki mandiyo mai hone wale kisano ke len den ko chaqu se kiye jane ka karpya kanoon banaye please see this
                       jai hind",,,,,,,,,,,,,,,,,,,,,
